id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,quorum health,43,35,14,41,176,watch,baseline,monotonic-signal
g002,lease drift,87,61,33,39,235,ship,edge,drag-penalty
g003,replica lag,69,42,23,47,228,ship,recovery,confidence-floor
g004,membership churn,63,35,40,51,126,watch,negative,lane-boundary
g005,quorum health,108,69,8,101,555,ship,baseline,monotonic-signal
g006,lease drift,90,53,15,87,422,ship,edge,drag-penalty
g007,replica lag,40,48,41,42,47,hold,recovery,confidence-floor
g008,membership churn,107,13,13,24,317,ship,negative,lane-boundary
g009,quorum health,56,33,22,62,215,ship,baseline,monotonic-signal
g010,lease drift,78,10,28,43,190,watch,edge,drag-penalty
g011,replica lag,92,36,11,38,333,ship,recovery,confidence-floor
g012,membership churn,103,17,4,40,386,ship,negative,lane-boundary
g013,quorum health,112,45,27,88,422,ship,baseline,monotonic-signal
g014,lease drift,76,61,15,31,276,ship,edge,drag-penalty
g015,replica lag,105,72,11,50,432,ship,recovery,confidence-floor
g016,membership churn,35,10,31,64,88,hold,negative,lane-boundary
g017,quorum health,48,51,22,75,235,ship,baseline,monotonic-signal
g018,lease drift,102,74,40,85,350,ship,edge,drag-penalty
g019,replica lag,88,18,8,52,346,ship,recovery,confidence-floor
g020,membership churn,41,63,15,40,191,watch,negative,lane-boundary
g021,quorum health,65,53,20,38,224,ship,baseline,monotonic-signal
g022,lease drift,36,15,24,46,95,hold,edge,drag-penalty
g023,replica lag,113,34,6,50,443,ship,recovery,confidence-floor
g024,membership churn,67,11,41,100,207,ship,negative,lane-boundary
g025,quorum health,48,17,18,86,243,ship,baseline,monotonic-signal
g026,lease drift,86,77,8,41,377,ship,edge,drag-penalty
g027,replica lag,108,75,25,23,320,ship,recovery,confidence-floor
g028,membership churn,35,41,35,61,93,hold,negative,lane-boundary
g029,quorum health,46,62,42,42,74,hold,baseline,monotonic-signal
g030,lease drift,99,40,26,37,281,ship,edge,drag-penalty
g031,replica lag,85,66,40,39,199,ship,recovery,confidence-floor
g032,membership churn,84,47,7,87,438,ship,negative,lane-boundary
g033,quorum health,40,40,13,30,155,watch,baseline,monotonic-signal
g034,lease drift,110,74,38,49,312,ship,edge,drag-penalty
g035,replica lag,104,58,31,63,341,ship,recovery,confidence-floor
g036,membership churn,61,53,12,74,324,ship,negative,lane-boundary
g037,quorum health,43,18,42,84,105,hold,baseline,monotonic-signal
g038,lease drift,81,38,38,51,193,ship,edge,drag-penalty
g039,replica lag,60,15,16,39,193,ship,recovery,confidence-floor
g040,membership churn,97,41,7,37,371,ship,negative,lane-boundary
g041,quorum health,31,22,25,45,80,hold,baseline,monotonic-signal
g042,lease drift,45,50,35,49,108,hold,edge,drag-penalty
g043,replica lag,56,66,42,99,222,ship,recovery,confidence-floor
g044,membership churn,65,77,5,85,417,ship,negative,lane-boundary
